[12-Dec-2012 13:15:28] <a href="http://xhprof/index.php?run=50c8f3f0703e4&amp;source=TIME For Kids">XHProf output</a>. 
[12-Dec-2012 13:16:28] <a href="http://xhprof/index.php?run=50c8f42c48e86&amp;source=TIME For Kids">XHProf output</a>. 
[12-Dec-2012 14:06:15] PHP Fatal error:  Class 'XHProfRuns_Default' not found in /mnt/hgfs/rallen8440/Sites/tfk/tfk/docroot/sites/all/modules/contrib/devel/devel.module on line 1106
[13-Dec-2012 11:46:29] PHP Fatal error:  Call to a member function fetchCol() on a non-object in /mnt/hgfs/rallen8440/Sites/tfk/tfk/docroot/modules/node/node.module on line 2589
[13-Dec-2012 11:46:52] PHP Fatal error:  Call to a member function fetchCol() on a non-object in /mnt/hgfs/rallen8440/Sites/tfk/tfk/docroot/modules/node/node.module on line 2589
[13-Dec-2012 11:47:08] PHP Fatal error:  Call to a member function fetchCol() on a non-object in /mnt/hgfs/rallen8440/Sites/tfk/tfk/docroot/modules/node/node.module on line 2589
[13-Dec-2012 11:48:35] PHP Fatal error:  Call to a member function fetchCol() on a non-object in /mnt/hgfs/rallen8440/Sites/tfk/tfk/docroot/modules/node/node.module on line 2589
[13-Dec-2012 11:50:06] PHP Fatal error:  Call to a member function fetchCol() on a non-object in /mnt/hgfs/rallen8440/Sites/tfk/tfk/docroot/modules/node/node.module on line 2589
[13-Dec-2012 11:51:29] PHP Fatal error:  Call to a member function fetchCol() on a non-object in /mnt/hgfs/rallen8440/Sites/tfk/tfk/docroot/modules/node/node.module on line 2589
[13-Dec-2012 11:52:38] PHP Fatal error:  Call to a member function fetchCol() on a non-object in /mnt/hgfs/rallen8440/Sites/tfk/tfk/docroot/modules/node/node.module on line 2589
[13-Dec-2012 13:07:53] PHP Fatal error:  Call to a member function fetchCol() on a non-object in /mnt/hgfs/rallen8440/Sites/tfk/tfk/docroot/modules/node/node.module on line 2589
[13-Dec-2012 13:08:06] PHP Fatal error:  Call to a member function fetchCol() on a non-object in /mnt/hgfs/rallen8440/Sites/tfk/tfk/docroot/modules/node/node.module on line 2589
[13-Dec-2012 13:09:37] PHP Fatal error:  Call to a member function fetchCol() on a non-object in /mnt/hgfs/rallen8440/Sites/tfk/tfk/docroot/modules/node/node.module on line 2589
[13-Dec-2012 13:09:50] PHP Fatal error:  Call to a member function fetchCol() on a non-object in /mnt/hgfs/rallen8440/Sites/tfk/tfk/docroot/modules/node/node.module on line 2589
[13-Dec-2012 13:14:26] PHP Fatal error:  Call to a member function fetchCol() on a non-object in /mnt/hgfs/rallen8440/Sites/tfk/tfk/docroot/modules/node/node.module on line 2589
[02-Jan-2013 11:57:12] PHP Fatal error:  Function name must be a string in /mnt/hgfs/rallen8440/Sites/tfk/tfk/docroot/sites/all/modules/contrib/diff/diff.module on line 204
